"title","url","classification"
"Study for ""Autopsy at the Hôtel-Dieu""","https://api.nga.gov/iiif/03619368-16a1-4888-a7bb-a6d5520f0fc1/full/!200,200/0/default.jpg","Painting"
"Equal, No. 2","https://api.nga.gov/iiif/03cea09d-adc8-4241-8938-057842d7375f/full/!200,200/0/default.jpg","Painting"
"Genesis","https://api.nga.gov/iiif/0365f216-a97d-4174-bec1-21175b071231/full/!200,200/0/default.jpg","Painting"
"Four Seasons in One Head","https://api.nga.gov/iiif/03b2e1d9-9a69-4bfe-9e07-45d54c35c486/full/!200,200/0/default.jpg","Painting"
"The Northern Whale Fishery: The ""Swan"" and ""Isabella""","https://api.nga.gov/iiif/03b37311-d35a-4a91-ab2b-6c3df89ab232/full/!200,200/0/default.jpg","Painting"
"Klatsop Indians","https://api.nga.gov/iiif/03b921f2-0b79-407d-b49e-8f3260aa77d5/full/!200,200/0/default.jpg","Painting"
"After Winslow Homer I","https://api.nga.gov/iiif/03bbbd2f-66a1-476f-9150-39b0d9c7fc9f/full/!200,200/0/default.jpg","Painting"
"Saint Bernardino of Siena","https://api.nga.gov/iiif/0370f726-15c3-4af2-afd1-7a774acab5bc/full/!200,200/0/default.jpg","Painting"
"Rush Hour, New York","https://api.nga.gov/iiif/03f30653-7d0c-4f34-8557-4e9d4b21020e/full/!200,200/0/default.jpg","Painting"
"View near Epernon","https://api.nga.gov/iiif/0410a6f0-36dc-465d-bf8a-2a77fc3d07a5/full/!200,200/0/default.jpg","Painting"
"Death and the Miser","https://api.nga.gov/iiif/03ee67ee-dd0e-443f-84ef-ede5f62ce0cd/full/!200,200/0/default.jpg","Painting"
"""He Turned Their Waters into Blood""","https://api.nga.gov/iiif/0414be87-3a13-4782-aa33-31063797ce0b/full/!200,200/0/default.jpg","Painting"
"Osprey and Weakfish","https://api.nga.gov/iiif/04570b01-f9de-42cb-97ff-d33abe5a9051/full/!200,200/0/default.jpg","Painting"
"Flux","https://api.nga.gov/iiif/042c7076-fd61-47a5-bbd8-972718ff7a97/full/!200,200/0/default.jpg","Painting"
"Athapasca Chief, His Wife, and a Warrior","https://api.nga.gov/iiif/04359922-eef3-4a80-b7c3-747b039b893c/full/!200,200/0/default.jpg","Painting"
"Boulevard Héloïse, Argenteuil","https://api.nga.gov/iiif/0408957a-17a2-49d8-96dd-f3ee2acb77b3/full/!200,200/0/default.jpg","Painting"
"Untitled","https://api.nga.gov/iiif/044c0b5f-9a80-4438-8001-68c225f5abfe/full/!200,200/0/default.jpg","Painting"
"William Vans Murray","https://api.nga.gov/iiif/04ae7008-92a9-4320-8aeb-0523e3e6875b/full/!200,200/0/default.jpg","Painting"
"View of La Cava","https://api.nga.gov/iiif/04751f53-a02d-4d32-9c12-503eee9cf96b/full/!200,200/0/default.jpg","Painting"
"Study of Clouds over the Roman Campagna","https://api.nga.gov/iiif/049b735e-a9a4-46d9-9754-ef2a5baa1910/full/!200,200/0/default.jpg","Painting"
"The Toilet","https://api.nga.gov/iiif/04b7a6be-32cb-482f-a9bb-c8c54b750a03/full/!200,200/0/default.jpg","Painting"
"South Room - Green Street","https://api.nga.gov/iiif/04dfc60e-0b10-42df-a578-eaff198c79da/full/!200,200/0/default.jpg","Painting"
"Filippo Cattaneo","https://api.nga.gov/iiif/050693ff-88a6-4f2d-8c86-c7534000ee2d/full/!200,200/0/default.jpg","Painting"
"Sophia Mead","https://api.nga.gov/iiif/05389c46-2ce6-41ea-a7d7-028040b66893/full/!200,200/0/default.jpg","Painting"
"Portrait of a Man","https://api.nga.gov/iiif/050d3a87-f256-45df-9958-2fd3c43d1bfe/full/!200,200/0/default.jpg","Painting"
"Eleanor Parke Custis Lewis (Mrs. Lawrence Lewis)","https://api.nga.gov/iiif/050fd97c-bd92-4b9c-9040-db7d513b7833/full/!200,200/0/default.jpg","Painting"
"The Much Resounding Sea","https://api.nga.gov/iiif/05213163-b2fc-4523-b963-575f85884783/full/!200,200/0/default.jpg","Painting"
"Alpine Mastiffs Reanimating a Distressed Traveler","https://api.nga.gov/iiif/05401f8c-7b61-48f4-a193-a9cb66d65ad6/full/!200,200/0/default.jpg","Painting"
"The Old Bridge","https://api.nga.gov/iiif/055f822f-cb78-40e5-aca8-7f4a2f0ddf51/full/!200,200/0/default.jpg","Painting"
"Row of Houses at Pierrefitte","https://api.nga.gov/iiif/05467e31-e586-4f5c-a9b2-8e755931ddb7/full/!200,200/0/default.jpg","Painting"
"Haystacks","https://api.nga.gov/iiif/0531b959-f183-41ac-b321-e5a3f28c28f1/full/!200,200/0/default.jpg","Painting"
"Portrait of a Lady","https://api.nga.gov/iiif/05bdd595-c033-4683-9902-01e8f3b83bde/full/!200,200/0/default.jpg","Painting"
"Saint Ursula with Two Angels and Donor","https://api.nga.gov/iiif/05690d22-4ecb-40d6-8195-fc5dce3dc526/full/!200,200/0/default.jpg","Painting"
"Sarah Homes Tappan (Mrs. Benjamin Tappan)","https://api.nga.gov/iiif/059d898a-723e-4109-a159-fa1198fe5f99/full/!200,200/0/default.jpg","Painting"
"Woman Ironing","https://api.nga.gov/iiif/05a612fd-23ad-4862-8ba2-84811c563c5a/full/!200,200/0/default.jpg","Painting"
"The Dinner Horn (Blowing the Horn at Seaside)","https://api.nga.gov/iiif/05a74679-333a-47b9-b25d-3d765f4faf40/full/!200,200/0/default.jpg","Painting"
"Young Woman with a Straw Hat","https://api.nga.gov/iiif/057b18ed-2c6c-44f5-a8c0-3e7aa95ab038/full/!200,200/0/default.jpg","Painting"
"Interior of the Pantheon, Rome","https://api.nga.gov/iiif/0584680b-b08b-4186-ab2f-56bd80e4524d/full/!200,200/0/default.jpg","Painting"
"Interior Scene","https://api.nga.gov/iiif/05a7ce07-b402-40cc-a0c3-a8c89606074a/full/!200,200/0/default.jpg","Painting"
"Trail Riders","https://api.nga.gov/iiif/05c10eb1-b029-4236-8251-2c9b8ffc1170/full/!200,200/0/default.jpg","Painting"
"Eaton Family Memorial","https://api.nga.gov/iiif/05d4d89e-55ca-4a9e-9e0b-fad84db8ce05/full/!200,200/0/default.jpg","Painting"
