,title,image_id,medium_display
57,"The Red Room, Etretat",e4df4d4a-4cfb-5be8-3728-0d0bf1b44751,Oil on artist's board
58,Wherefore Now Ariseth the Illusion of a Third Dimension,a2c1636a-6d3a-f3d6-71fa-740e55e48653,Oil on canvas
59,Coat Hanger I,44927db8-c6d6-92e5-c2cb-d824011059f3,Lithograph from one stone in black on ivory wove paper
60,Beggar with a Duffle Coat (Philosopher),1a087ef7-8455-e5d0-0b2b-9738cd33058c,Oil on canvas
61,"The Shelton with Sunspots, N.Y.",d88cc72a-6ab1-b9c8-ad37-a6d25ce9efd0,Oil on canvas
62,"Candelabrum entitled ""Morning""",503e91e1-f6b6-72b3-0936-0bbab3b64736,Silver
63,Target,be2d2883-7181-b847-3b93-29de9595c959,Lithograph from one stone in black on ivory wove paper
64,Beggar with Crutch,a82a0390-7a0e-b24a-b15a-1131c36fc434,Pen and brown ink and colored crayons on tan wove paper
65,Fragment (From a Curtain),64d9e4b9-ea3d-a67a-a67e-6c62e8b2158b,Linen and wool plain weave with supplementary brocading wefts
66,Bonbonnière,cbb422f4-409a-73a9-b0a6-6ece1107704d,Silver and cloisonné enamel
67,Cabin in the Cotton,d28fd9b7-bb27-4fb7-cbab-db47fb606d81,Oil on cotton mounted on Masonite
68,Venetian Glass Workers,1e719328-278b-29cc-e750-149c1d003b41,Oil on canvas
69,Gauntlet for the Right Hand,d0e81a6a-05d9-f09c-a395-94b9a473b268,Steel
70,Composite Field Armor,,"Steel, brass, and leather"
71,Corpse and Mirror II,0b884b37-acec-7c15-5077-927bb991f69e,"Oil and sand on four joined canvases, with artist's painted frame"
72,Mace,06703c90-1f46-a96f-d0a2-85d51856727a,Iron and gilding
73,Sporting or Target Crossbow for a Youth,b7955f86-aeab-191f-4c57-849d2fcb4814,"Steel, fruitwood, staghorn, and cord"
74,Wheellock Rifle,85a2b13e-b191-61da-2069-034bf81fb776,"Iron, silver, fruitwood, staghorn, and mother-of-pearl"
75,Three Angels,465d971b-b1e5-c894-8858-31f1e62536aa,"Linen, wool, gilt-metal-strip-wrapped cotton, silk, cotton, metal-foil-laminated in cellulose acetate film-wrapped rayon, and rayon-and-nylon, tapestry weave"
76,"The Cogent Reason, plate four from Intimacies",244c91d0-881f-416b-a281-004615e77d63,Woodcut in black on cream wove paper
77,Woman Bathing Her Feet in a Brook,5ccaee46-a1a0-5035-821c-0547aa35c070,Oil on canvas
78,The Freedman,44506581-ba5e-57bf-713d-8dd3b3b80310,Bronze
79,St. Louis,c671a09b-851d-207a-11c6-9d38739a202d,Gelatin silver print
80,The White Race,230e8e8e-7726-b793-2a4a-05223efb221a,Oil on canvas
81,Fruit Piece,998674f9-207f-6b56-8ece-79a6a5039a2a,Oil on canvas
